"parameter","prior","approximation","statistic","p_value","KS_x","KS_y"
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.137911288504796,0.369669432439694
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.139378998264082,0.378382438215174
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.1462514002649,0.261153357551908
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.147295538117506,0.279736588550209
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.149479502438228,0.27175917240022
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.151034607551587,0.278435660138175
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.15184366115782,0.302496908968768
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.152145223645259,0.338383898747004
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.152697356877576,0.368431998723527
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.153081061276688,0.402404888072379
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.166018247979265,0.143852008567844
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.166844706061773,0.167507692019785
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.167235547510774,0.20131427125997
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.169619376889547,0.188679527496811
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.174213487371023,0.124540016903164
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.175168220166274,0.145206596769145
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.179091390685319,0.0967015709837923
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.179203999115917,0.136991636292715
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.181729850583018,0.12104744264321
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.187265116175785,0.034976796458251
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.187386105181486,0.0750715745858035
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.188484161591593,0.0923983759252194
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.18922028422674,0.118159088528062
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.189456785468171,0.155562158908544
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.190003959424048,0.185725821731983
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.192787163009702,0.163784716267422
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.193692858542492,0.185593980096068
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.194570789713375,0.208050219092026
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.19457853249079,0.25078390164454
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.195494727622284,0.272348500040182
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.197454013684562,0.269606617641452
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.199903768184972,0.255435662934796
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.200474683666194,0.285046092178291
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.201300330396024,0.308720682062756
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.203985268981317,0.289069383050862
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.20626375031206,0.278889497469837
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.206654585187244,0.312696229895474
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.209654014933842,0.285716544501653
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.210605491682149,0.306458997947
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.214981262717213,0.247407311822208
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.219022324970823,0.196155130350378
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.219103516280074,0.237177288743514
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.219564509533939,0.269349165344368
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.225169990050671,0.181642345696026
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.227498153508542,0.170304749283436
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.229952765200063,0.156020610558996
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.231180901448234,0.170316244631662
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.23205900077488,0.192768565201434
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.23431672108851,0.183072460323368
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.235983990839501,0.187135247251612
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.240521662555917,0.124310893101681
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.244421521426709,0.0763490837453379
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.248123019782949,0.033009542587312
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.249574211576177,0.0421074559608597
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.250306881856672,0.0679486165760016
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.250414170315892,0.10836264977528
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.252219348051126,0.10921185515328
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.253122266530981,0.131085830870264
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.254850972883245,0.133716999974168
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.255093372921417,0.170982614467101
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.256640529561629,0.177844320390924
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.256863459032942,0.215563645049907
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.257179823907068,0.251105704278859
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.258454320467262,0.264321033652717
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.260122291925894,0.268367469136609
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.261782094023669,0.272604270011412
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.261881186408583,0.313209291087988
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.272416644981519,0.110622346032256
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.272642011090393,0.148284891284636
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.277593074863289,0.0758275264499814
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.280441963113476,0.05235581326003
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.281506546665667,0.070462611198064
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.284120285883226,0.0524704255130429
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.289804223096755,-0.0370646203594984
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.294197512385309,-0.0965245231406257
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.2974922016181,-0.130384451491883
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.298734640736498,-0.116422108055915
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.298916727977771,-0.0777510630331913
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.303777675630306,-0.148108509553738
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.307353313157601,-0.188515196316015
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.309507515180728,-0.195799080681273
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.310792863279493,-0.182836617770023
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.311085311148986,-0.14673723587955
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.314806505807681,-0.19053574737584
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.315596044781216,-0.166019761541148
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.317738162555495,-0.173022054384619
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.318156827348509,-0.139863824734035
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.321184426624688,-0.167499926658328
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.322182437947547,-0.147841838640053
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.323043378751119,-0.124989683981745
